sample,assembly_index,carboxylate_index,carboxylate_type,atom_indexes,atom_count,carboxylates_superimposed_len,carboxylates_superimposed_str,belonging_entity_type,belonging_entity_id,source_collection,pair_partner,pair_partner_sample,pair_partner_index
assembly_2025-11-17_20-17-04_entity_number_200,0,20,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521db50>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,21,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415242390>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,22,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151e1670>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,23,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151cf530>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,24,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415203530>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,25,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521e930>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,26,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415240350>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,27,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415240cb0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,28,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152414f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,29,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415240f50>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,30,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521fb30>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,31,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152010d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,32,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152415b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,33,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521e4b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,34,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152426f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,35,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521c230>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,36,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415241b50>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,37,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152424b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,38,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415202f30>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,39,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521f170>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,40,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415241910>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,41,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521d130>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,42,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521d490>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,43,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415241c70>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,44,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415241df0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,45,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415203fb0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,46,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152417f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,47,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152420f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,48,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415242210>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,49,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152425d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,50,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152428d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,51,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152429f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,52,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415242b10>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,53,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415242c90>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,54,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415242d50>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,55,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415242e70>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,56,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415243230>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,57,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415241190>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,58,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415243110>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,59,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152432f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,60,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415243470>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,61,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415243530>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,62,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152436b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,63,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152437d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,64,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152438f0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,65,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415243a10>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,66,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415243ad0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,67,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415243bf0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,68,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415243d10>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,69,benzoate,"5,10,11",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415243e90>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,70,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415243f50>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,71,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152640b0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,72,benzoate,"0,8,9",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152641d0>>,BDC,,Linker_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,0,formate,"40,15,36",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151e0e30>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,1,formate,"8,6,55",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415201fd0>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,2,formate,"77,7,57",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151ce390>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,3,formate,"43,20,41",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151ce750>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,4,formate,"60,25,28",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151e3890>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,5,formate,"44,17,34",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521cd70>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,6,formate,"3,1,45",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521dd90>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,7,formate,"54,22,29",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415200950>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,8,formate,"28,26,35",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41519a570>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,9,formate,"38,14,35",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521f5f0>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,10,formate,"23,21,40",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521e210>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,11,formate,"28,26,35",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521e330>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,12,formate,"38,14,35",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415203710>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,13,formate,"53,10,51",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521fef0>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,14,formate,"89,22,42",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415377fb0>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,15,formate,"93,27,37",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415201a30>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,16,formate,"13,11,50",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151e2e70>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,17,formate,"60,25,28",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415200470>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,18,formate,"33,15,31",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521c710>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,19,formate,"50,20,32",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151e1010>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,20,formate,"13,11,50",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415201670>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,21,formate,"60,25,28",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151e11f0>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,22,formate,"58,5,56",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415240770>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,23,formate,"13,11,50",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152020f0>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,24,formate,"89,22,42",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415240110>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,25,formate,"38,14,35",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151e0dd0>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,26,formate,"54,22,29",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415198920>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,27,formate,"38,25,36",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521e3f0>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,28,formate,"54,22,29",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151e0290>>,Zr6_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,29,formate,"13,11,50",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151e2750>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,30,formate,"58,5,56",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151cdcd0>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,31,formate,"58,5,56",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b41521df70>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,32,formate,"93,27,37",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b415240230>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,33,formate,"81,12,52",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4152016d0>>,Zr12_AA,,MC_free_carboxylates,,,
assembly_2025-11-17_20-17-04_entity_number_200,0,34,formate,"53,10,51",3,,<bound method Carboxylate.carboxylates_superimposed of <UiO66_Assembly_Large_Correction_conc.Carboxylate object at 0x70b4151e2f30>>,Zr12_AA,,MC_free_carboxylates,,,
